Year,District,Crop,Latitude,Longitude,Precipitation,Surface_Pressure(kPa),Specific_Humidity(g/kg),Relative_Humidity(%),Temp,Wet_Bulb_Temp(C),Max_Temp(C),Min_Temp(C),Earth_Skin_Temp(C),Wind_Speed_10M(m/s),Max_Wind_Speed_10M(m/s),Min_Wind_Speed_10M(m/s),Wind_Speed_50M(m/s),Max_Wind_Speed_50M(m/s),Min_Wind_Speed_50M(m/s),Temp_Range(C),Wind_Speed_10M_Range(m/s),Wind_Speed_50M_Range(m/s),Area,Production,Yield(kg/ha)
1982,Achham,Barley,29.11,81.3,1.8223287671232875,87.57786301369863,7.857616438356165,47.294082191780824,19.098575342465754,12.374876712328767,38.94,0.3,18.361643835616437,2.2492876712328767,8.62,0.03,2.6457534246575345,10.53,0.05,38.64,8.59,10.479999999999999,500.0,400.0,800.0
1982,Achham,Maize,29.11,81.3,1.8223287671232875,87.57786301369863,7.857616438356165,47.294082191780824,19.098575342465754,12.374876712328767,38.94,0.3,18.361643835616437,2.2492876712328767,8.62,0.03,2.6457534246575345,10.53,0.05,38.64,8.59,10.479999999999999,2850.0,3420.0,1200.0
1982,Achham,Millet,29.11,81.3,1.8223287671232875,87.57786301369863,7.857616438356165,47.294082191780824,19.098575342465754,12.374876712328767,38.94,0.3,18.361643835616437,2.2492876712328767,8.62,0.03,2.6457534246575345,10.53,0.05,38.64,8.59,10.479999999999999,850.0,940.0,1106.0
1982,Achham,Paddy,29.11,81.3,1.8223287671232875,87.57786301369863,7.857616438356165,47.294082191780824,19.098575342465754,12.374876712328767,38.94,0.3,18.361643835616437,2.2492876712328767,8.62,0.03,2.6457534246575345,10.53,0.05,38.64,8.59,10.479999999999999,1930.0,2700.0,1399.0
1982,Achham,Wheat,29.11,81.3,1.8223287671232875,87.57786301369863,7.857616438356165,47.294082191780824,19.098575342465754,12.374876712328767,38.94,0.3,18.361643835616437,2.2492876712328767,8.62,0.03,2.6457534246575345,10.53,0.05,38.64,8.59,10.479999999999999,3200.0,3360.0,1050.0
1982,Arghakhanchi,Barley,27.9,83.2,2.2195342465753423,93.13312328767122,8.912356164383562,45.12213698630138,22.478136986301372,8.29254794520548,42.98,5.51,22.155561643835615,2.6771780821917806,12.55,0.07,3.6367671232876715,15.33,0.05,37.47,12.48,15.28,300.0,270.0,900.0
1982,Arghakhanchi,Maize,27.9,83.2,2.2195342465753423,93.13312328767122,8.912356164383562,45.12213698630138,22.478136986301372,8.29254794520548,42.98,5.51,22.155561643835615,2.6771780821917806,12.55,0.07,3.6367671232876715,15.33,0.05,37.47,12.48,15.28,8830.0,11300.0,1280.0
1982,Arghakhanchi,Millet,27.9,83.2,2.2195342465753423,93.13312328767122,8.912356164383562,45.12213698630138,22.478136986301372,8.29254794520548,42.98,5.51,22.155561643835615,2.6771780821917806,12.55,0.07,3.6367671232876715,15.33,0.05,37.47,12.48,15.28,800.0,800.0,1000.0
1982,Arghakhanchi,Paddy,27.9,83.2,2.2195342465753423,93.13312328767122,8.912356164383562,45.12213698630138,22.478136986301372,8.29254794520548,42.98,5.51,22.155561643835615,2.6771780821917806,12.55,0.07,3.6367671232876715,15.33,0.05,37.47,12.48,15.28,1690.0,3090.0,1828.0
1982,Arghakhanchi,Wheat,27.9,83.2,2.2195342465753423,93.13312328767122,8.912356164383562,45.12213698630138,22.478136986301372,8.29254794520548,42.98,5.51,22.155561643835615,2.6771780821917806,12.55,0.07,3.6367671232876715,15.33,0.05,37.47,12.48,15.28,1000.0,1420.0,1420.0
1982,Baglung,Barley,28.3,83.6,1.922,79.26287671232878,7.262739726027397,53.90378082191781,13.294794520547946,2.8335068493150684,31.21,-2.64,12.87882191780822,2.2226575342465753,9.11,0.01,2.236958904109589,9.83,0.03,33.85,9.1,9.8,200.0,180.0,900.0
1982,Baglung,Maize,28.3,83.6,1.922,79.26287671232878,7.262739726027397,53.90378082191781,13.294794520547946,2.8335068493150684,31.21,-2.64,12.87882191780822,2.2226575342465753,9.11,0.01,2.236958904109589,9.83,0.03,33.85,9.1,9.8,9000.0,16200.0,1800.0
1982,Baglung,Millet,28.3,83.6,1.922,79.26287671232878,7.262739726027397,53.90378082191781,13.294794520547946,2.8335068493150684,31.21,-2.64,12.87882191780822,2.2226575342465753,9.11,0.01,2.236958904109589,9.83,0.03,33.85,9.1,9.8,1000.0,1100.0,1100.0
1982,Baglung,Paddy,28.3,83.6,1.922,79.26287671232878,7.262739726027397,53.90378082191781,13.294794520547946,2.8335068493150684,31.21,-2.64,12.87882191780822,2.2226575342465753,9.11,0.01,2.236958904109589,9.83,0.03,33.85,9.1,9.8,4600.0,10350.0,2250.0
1982,Baglung,Wheat,28.3,83.6,1.922,79.26287671232878,7.262739726027397,53.90378082191781,13.294794520547946,2.8335068493150684,31.21,-2.64,12.87882191780822,2.2226575342465753,9.11,0.01,2.236958904109589,9.83,0.03,33.85,9.1,9.8,1780.0,1920.0,1079.0
1982,Baitadi,Barley,29.5,80.5,1.3653150684931505,73.81465753424658,5.931178082191781,52.65632876712329,9.178027397260275,-0.8919178082191781,26.39,-9.57,9.069890410958903,2.3108493150684932,12.1,0.02,2.2735342465753425,13.22,0.02,35.96,12.08,13.200000000000001,430.0,340.0,791.0
1982,Baitadi,Maize,29.5,80.5,1.3653150684931505,73.81465753424658,5.931178082191781,52.65632876712329,9.178027397260275,-0.8919178082191781,26.39,-9.57,9.069890410958903,2.3108493150684932,12.1,0.02,2.2735342465753425,13.22,0.02,35.96,12.08,13.200000000000001,2900.0,2830.0,976.0
